reviewer_name,rating,date,review_text,wisata,visit_time
fan vane,4,1 bulan lalu,"Adem dan mesti rame nek nang batu malang, banyak kuliner di alun2, ke sini pas nginep di jambuluwok mantep. Malang batu memang kota wisata yang mantep seh. Semoga tetep aman kondusif karena kota wisata  ",Alun Alun Kota Wisata Batu,Tidak diketahui
10 _dy,4,2 bulan lalu,"Disekitar banyak penjual makanan berat, jajanan, minuman,, seperti jadi tempat wisata kuliner juga Ada playground untuk anak²",Alun Alun Kota Wisata Batu,Tidak diketahui
Khoirotin Anisa,4,5 bulan lalu,"Tempatnya bersih dan nyaman, walaupun kurang luas tapi tempatnya dimanfaatkan dengan baik. Jadi spacenya banyak dan spot bervariasi. Ada banyak wahana juga untuk anak-anak. Sayangnya pintu masuknya cuma bisa diakses satu arah, padahal alun-alun itu seharusnya terbuka dari seluruh penjuru arah. Mungkin kalau khawatir dengan parkir sembarangan bisa ditertibkan oleh petugas. Dan beberapa spot kolam ikan airnya kotor bahkan tidak terurus, takutnya malah jadi sarang nyamuk.  ",Alun Alun Kota Wisata Batu,Tidak diketahui
hatris soe,5,1 minggu lalu,Ke sini pagi hari buat cari sarapan nasi pecel dan kopi. Singgah ke Indomaret beli air mineral sebelum ke jatim park 2. Mau pergi di malam hari gak sempat karena keburu mager.  ,Alun Alun Kota Wisata Batu,Tidak diketahui
Yudhis Tira,5,2 bulan lalu,banyak ada kurang tau,Alun Alun Kota Wisata Batu,Tidak diketahui
Dian Purwo,4,1 bulan lalu,"Sangat ramai ketika akhir pekan, tempat nongkrong yg pas klo bawa anak2 dan keluarga, deket food court dan plaza batu.  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Another Side,5,4 bulan lalu,"Tempat wisata yang sejuk dan dingin. Salah satu pilihan tempat yang cocok buat mengisi waktu libur weekend kalau lagi di Malang, banyak jajanan makanan, baju, dan souvernir khas malang. Lokasi di pusat kota dan dekat dengan masjid. Sayangnya ada minus di beberapa bagian : Bianglala sudah lama tidak aktif, mungkin bisa segera diperbaiki biar tambah bagus. Akses wifi didalam alun-alun sekarang tidak ada. Dialun alun tempat parkirnya juga cukup luas, 2 ribu untuk sepeda motor, 10 ribu untuk mobil. Toilet gratis dan bersih👍🏼 Bagus Bersih",Alun Alun Kota Wisata Batu,Tidak diketahui
Galang Syah,5,5 bulan lalu,"Banyak jajanan dan makanan tersedia disini. Di Alun-alun Kota Batu mulai dari makanan cepat saji sampai makanan tradisional, bakso, soto, rawon semua ada sini. Tempat yang cocok untuk wisata bersama keluarga, kerabat dan teman. Banyak tempat untuk permainan anak-anak. Jika mau wisata kuliner juga bisa, banyak tempat autentik dan khas disini. Buka 24 jam, mulai tempat untuk nongkrong, ngopi dan area untuk istirahat ada disini. Menurut saya trmpat paling khas disini ada kita dapat membeli susu sapi murni langsung dari peternakan di sekitar kota Batu dan Malang. Harga makanan dan jajanan disini juga terjangkau, tidak terlalu mahal dan porsi nya cukup membuat kenyang. Ada tempat bermainnya.",Alun Alun Kota Wisata Batu,Tidak diketahui
Anju Ardian,5,3 bulan lalu,"Main kesini malam hari, vibesnya adem dan seru. Banyak yang jual makanan. Bisa bebas makan apa aja. Tapi untuk baksonya kurang. Ngga tau ya. Aneh rasa kuah dan baksonya. Ngga habis. Tapi yang lok lok nya best. Bumbu dan taste mereka dapat bgt. Rasanya pas bgt. Dan harganya juga murah. Kalo main ke alun alun malang wajib coba lok lok ini sih  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Rizka Novitasari,5,3 bulan lalu,Kalo ke alun-alun kota batu Malang cobain ke Janus Coffeenya. Bisa liat pemandangan. Naik kereta motor: 10RB/orang (anak ku belum 2 tahun ga dikenakan biaya) Jajan es kopi: 7RB/cup Jajan sate-satean: 10RB/tusuk Ada playground juga buat anak-anak  ,Alun Alun Kota Wisata Batu,Tidak diketahui
Fahmi Hidayat,5,3 bulan lalu,"Salah satu spot favorit tiap mudik ke Batu. Ini satu ikon Kota Wisata Batu. Tempat berkumpul banyak kalangan, mulai dari yang sendiri hingga bawa keluarga, mulai dari yang dekat atau yang sekadar singgah. Lokasinya strategis, ada di pusat kota, di depan masjid agung, dekat ke pasar panggung, banyak wahana bermain anak, dan foodcourt yang banyak pilihan. Parkiran ada di sisi alun-alun, cukup membuat macet dan menambah kepadatan. Semoga ada formula atau kebijakan buat penataan parkir terlebih di saat suasana yang padat seperti lebaran atau akhir pekan. Nice to visit  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Irfan Rizkiansyah,5,3 bulan lalu,"Secara parkiran lumayan tertata rapi, meski banyak lautan manusia disini. Tapi itu berarti dia recommended bgt utk dikunjungi. Vibes sejuk namun street food seperti di bandung. Bahkan kedai-kedai semacam swk kalau di surabaya, juga ada. Bisa banget sih untuk jadi wishlist kalian kalau ke batu, better di jam sore sih. Tapi kalo pagi/siang buat cari makan juga oke kok  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Farhan Muhammad Andria,5,4 bulan lalu,"Kilas balik; Berkunjung ke Alun Alun batu setelah berendam di Songgoriti Hotspring, kami kesini untuk kuliner malam🎇🎇🎆🎆. Hari itu malam tarawih hari pertama, di sebrangnya ada masjid besar. Suasana - Enak, sejuk dan dingin seperti Bandung - Cocok untuk kuliner murah meriah harga terjangkau - Cocok untuk ngedate minimalis juga - Pilihan makanan banyak terutama sate satean suki gitu🌮🍗🌭 - bayar parkir 2 ribu, jalan kaki sedikit dari indomaret Bagus, banyak wahana permainan gratis Ada Sesuai",Alun Alun Kota Wisata Batu,Tidak diketahui
Ika Firda,5,2 bulan lalu,"Alun-Alun Kota Wisata Batu selalu jadi tempat yang bikin nostalgia jaman kuliah suasananya khas dan adem, jadi spot wajib tiap mampir ke Batu. Sekarang makin ramai dan jajanan makin lengkap! Dari jajanan tradisional sampai kekinian ada semua. Dan yang nggak pernah absen jadi favorit sejak dulu: crepes-nya! Tetap enak, tetap rame, dan selalu jadi pilihan wajib tiap ke sini 🍓🧀 Tapi perlu diingat, kalau weekend, jalanan sekitar alun-alun bisa macet banget dan parkir susah. Disarankan datang lebih awal atau saat hari biasa biar lebih santai. Tetap jadi tempat publik yang seru untuk kulineran, nostalgia, atau sekadar duduk santai di tengah kota yang sejuk.  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Agritha PN,5,3 bulan lalu,"Kesini pas libur panjang lebaraan. Rame bangeeet, banyak jajanan dan ada pentas gamelan gitu. Parkiran motor bayar 3rb. Sayangnya biang lala sudah tidak beroprasi.  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Idqa,5,4 bulan lalu,"tempatnya ramai, banyak yg jual jajanan dan makanan, cocok untuk ngabuburit dan jalan2 santai, dekat pasar juga jadi mau makan atau njajan semuanya lengkap  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Zulfaaa Cantik,5,2 bulan lalu,pertama kali ke alun2 batu rame sekaliiii malam minggu 3 kali putar cuma buat parkir tp sangat2 worth it untuk kuliner nya parkir mobil bayar 5rb kunci nya kalo mau ke sana harus sabar mencari parkir  ,Alun Alun Kota Wisata Batu,Tidak diketahui
M Fajar Aflah,5,1 bulan lalu,"Alun-alun baru ini menghadirkan suasana segar dan modern di tengah kota. Dengan desain yang estetis dan fasilitas yang lengkap, tempat ini menjadi destinasi favorit bagi warga untuk bersantai dan berkumpul. Area yang luas dan tertata rapi cocok untuk berbagai aktivitas, mulai dari olahraga ringan, bermain anak-anak, hingga acara komunitas. Penambahan taman hijau dan lampu-lampu estetik membuat suasana semakin nyaman, terutama di malam hari. Selain itu, tersedia banyak pilihan kuliner di sekitar alun-alun yang memanjakan lidah. Kebersihan area juga terjaga dengan baik, memberikan rasa nyaman bagi pengunjung. Alun-alun ini tidak hanya menjadi ikon baru, tetapi juga tempat sempurna untuk menciptakan momen indah bersama keluarga dan teman. Sungguh, sebuah ruang publik yang layak diapresiasi!  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Charis Nk Rendra,5,3 bulan lalu,"Alum alun yg secara pengelolaan masih biasa saja tidak terlalu rapi namun di sini adalah jentung kuliner di kota Batu, shg cocok bagi wisatawan yg malamnya ingin mencari cemilan atau makanan dan sekedar bersantai dg teman atau keluarga  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Nurhidayati,5,1 minggu lalu,"BARU Alun-Alun Kota Batu jadi salah satu tempat favorit untuk nongkrong atau jalan-jalan santai. Suasananya seru, ramai, dan penuh kehidupan, terutama di malam hari. Banyak penjual makanan khas, jajanan, dan juga souvenir. Ada bianglala yang jadi ikon dan menarik untuk dicoba. Tempatnya cocok buat keluarga, anak-anak, atau sekadar menikmati udara sejuk Kota Batu. Sayangnya, kadang agak ramai dan parkir agak susah, tapi tetap worth it untuk dikunjungi! Mau versi lebih singkat atau lebih kasual juga bisa, tinggal beri tahu.  ",Alun Alun Kota Wisata Batu,Tidak diketahui
FeiFei ADH,5,1 bulan lalu,"Berjualan bermacam makanan seafood, kacang godog, sate-satean, bakso dan banyak lagi makanan dijual disini. Bahkan ada yang jual bunga, strawberry, murberry  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Meri Flamboyan,5,4 bulan lalu,"3 kali pulang ke Batu sayangnya bianglalanya masih belum juga diperbaiki. Kamar mandinya terakhir datang kurang bersih. Sisanya oke, enak banget buat nostalgia masa sekolah  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Dodik Riyanto,5,4 bulan lalu,Sangat tepat membawa keluarga jalan2 disini tempat nya bersih dan terawat bikin betah ber lama lama dan d sekitar alun alun banyak jajanan yg relatif murah 😊 …  ,Alun Alun Kota Wisata Batu,Tidak diketahui
Mangun de jong,4,3 bulan lalu,"Namanya alun alun pasti seru ramai, banyak kuliner pilihan dan yang legend juga ada banyak hiburan. Cuma biasa namanya juga tempat ramai harus pintar2 cari tempat pakir.  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Marlen Nuniary,5,Beberapa hari lalu,"BARU Mntp sekali. Bnyk kuliner. Sy dn suami brgkt dr kota malang jm 4 , buru buat ke kebun apel. Tp kymya apel uda pda hbis. 19 juli 2025 hr ini😍😍 …  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Yunita Nanda isarah,5,1 bulan lalu,"Alun-alun hiburan warga Malang juga, kuliner banyak banget. Hawa udah pasti lebih adem, dripada Malang ✌️  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Amellia Meiko Putri,5,5 bulan lalu,"Alun-alunnya terawat baik, suasananya juga nyaman. Kalau pagi banyak yg olahraga sekitar alun-alun, dan banyak kedai makanan untuk sarapan! MUST TRY : nasi pecel sebelah warung bakso, ketan susu  ",Alun Alun Kota Wisata Batu,Tidak diketahui
vidya zafira,5,1 bulan lalu,"Tempat bersih, nyaman luas.. Tinggal 1 yg belum sempurna toilet... Untuk kedepannya kalau bisa di perbaiki/ dibuat selalu bersih & tidak berbau. Gpp lah bayar asal kebersihan bisa selalu terjaga & membuat nyaman pengunjung. Terimakasih 🙏 Bagus, bersih & nyaman Dalam kebersihan masih sangat minim. Dan kalau bisa di perbaiki untuk kebersihannya.",Alun Alun Kota Wisata Batu,Tidak diketahui
istiardi channel,4,1 bulan lalu,"Rame sekali tiap malam apalagi hari libur, cocok buat keluarga teman dan sahabat,pacar.banyak kuliner di kanan kiri alun2  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Nafsun Flower,5,3 bulan lalu,"Bersih , ramai pengunjung, tempatnya luas dan banyak stand jajanan😋 Tapi sayang sekali bianglala sudah tidak berfungsi☹️ Malam minggu full niihhh tapi seru😃 next semoga bisa kesini lagi …  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Alamul Hadi,3,3 bulan lalu,"Alhamdulillah tempatnya bagus dan ramai terus, tpi sayang ada bau pesing dimana2. Kaya tempat terbuang gitu. Padahal pusat kota 🙏🙏🙏 …  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Sekar Susan,4,Beberapa hari lalu,"BARU makanannya enak, penjualnya ramah"" tidak di ragukan lagi  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Petualangan Kirana,5,5 bulan lalu,"Bersih, nyaman, terawat, dan seruuu. Bersih tidak pesing. Nana takut anjing.",Alun Alun Kota Wisata Batu,Tidak diketahui
Sahrul Ahmed,4,1 minggu lalu,"Alun-Alun Kota Batu merupakan salah satu destinasi wisata ikonik yang terletak di pusat Kota Batu, Jawa Timur. Tempat ini menjadi favorit baik bagi wisatawan maupun warga lokal karena menyuguhkan suasana yang nyaman, ramah keluarga, dan memiliki banyak spot menarik. Salah satu daya tarik utama adalah bianglala raksasa yang menjadi ikon alun-alun ini. Dari atas bianglala, pengunjung bisa menikmati panorama Kota Batu yang sejuk dan dikelilingi pegunungan. Tersedia juga area bermain anak, air mancur, dan taman yang tertata rapi, cocok untuk bersantai atau piknik ringan. Fasilitas umum seperti toilet, mushola, dan tempat duduk tersedia dalam kondisi baik dan bersih. Di sekeliling alun-alun, pengunjung bisa menjumpai berbagai pedagang makanan khas Batu seperti ketan susu, jagung bakar, dan aneka jajanan tradisional yang menggugah selera. Kunjungan ke Alun-Alun Kota Batu paling ideal dilakukan pada sore hingga malam hari, saat lampu-lampu mulai menyala dan suasana menjadi lebih hidup dengan pertunjukan musik atau hiburan jalanan. Kesimpulan:  1 ",Alun Alun Kota Wisata Batu,Tidak diketahui
ruwaidah damayanti,4,2 bulan lalu,"tempatnya selayaknya taman/alun² lah. cuma heran aja bbrp kali kesana mau naik bianglala nya slalu tdk beroperasi😭 untuk toiletnya, maaf banget kurang bersih🙏🏻 ada bbrp cafe juga disana. best view nya alun² batu. tolong dong banyakin tmpt duduk nya atau penataan tempat duduk yg okey.",Alun Alun Kota Wisata Batu,Tidak diketahui
Lusi Ana,5,1 bulan lalu,"Kalau main ke batu wajib ke alun-alun ini,, selain gratis,tempat nya lumayan bersih. Banyak kuliner yang bisa dicoba dari yang tradisional sampai kekinian. Kalau mau naik kereta kelinci atau Dokar juga ada.  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Fina Agustin,5,3 bulan lalu,Tempat favorit anak kalau k Batu&banyak tempat kuliner&orngtua bisa nongkrong juga di sekitar alun2+tempatx bersih👍 Bersih,Alun Alun Kota Wisata Batu,Tidak diketahui
kristina amalia,4,3 bulan lalu,"Dekat dengan masjid besar dan akses yg mudah jika ingin wisata kuliner (macam-macam jajanan seperti crepe jumbo, bakso, es krim, aneka makanan barbeque ""korea"", makanan tradisional spt soto rujak gado-gado, tahu campur dll). Juga ada penjual handycraft & bunga potong segar.  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Riski Fausta,5,2 bulan lalu,"Tempat liburan yang paling murah di kota batu, ada banyak kuliner di sekitaran alun alun mulai dari makanan ringan sampe makanan berat, ada masjid juga yang ada di seberang jalan. Untuk parkir dikenakan biaya 2000, dan toilet juga berbayar.  ",Alun Alun Kota Wisata Batu,Tidak diketahui
AF Laila,4,3 bulan lalu,Waktu kesana habis hujan jadi tidak banyak akses tempat duduk yg bisa digunakan. Terdapat banyak pasar kuliner yg bisa kalian coba. Dekat dengan masjid Agung. Fasilitas kamar mandi ada yg terpisah buat cewek ataupun cowok  ,Alun Alun Kota Wisata Batu,Tidak diketahui
Tomi Kalaza,5,1 minggu lalu,BARU Ramai terus karena tujuan wisata. Banyak spot kuliner di sekelilingnya. Ada banyak wahana bermain anak juga. Bisa parkir di Masjid Agung Kota Batu kalau ke sini.  ,Alun Alun Kota Wisata Batu,Tidak diketahui
Andi Saputra,5,1 minggu lalu,BARU Wisata murmer... Komplit segala macam ada... Cocok klo mau hunting bakso & bakwan malang harga 10rb an 😁 …  ,Alun Alun Kota Wisata Batu,Tidak diketahui
Wuzz Trans,5,6 bulan lalu,"Ini mah bisa dikunjungi kapan saja pagi siang sore malam,bagus lah tertata untuk yg pengen sekedar melepas penat atau ngajak bocil main boleh lah..  1 ",Alun Alun Kota Wisata Batu,Tidak diketahui
Septia Nor Cahyani,5,5 bulan lalu,datang saat weekend dengan keluarga. Cukup ramai karena wisata ramah kantong ya… pas datang ramai ramai memang agak terbatas spot buat duduk  ,Alun Alun Kota Wisata Batu,Tidak diketahui
R14 Antoni,5,5 bulan lalu,Recomended buat yang pengen nongkrong nikmati suasana malam di kota batu smbil ngemil street food yang harga nya murah meriah.  ,Alun Alun Kota Wisata Batu,Tidak diketahui
Kristina Dameria,4,7 bulan lalu,"Sudah beberapa kali ke sini dan terbaru 2024 ini dan sudah jauh lebih baik saat ini. Sudah teratur dan lumayan enak di pandang mata. Kesini ya hanya untuk kuliner saja karena paling menarik nya ya kuliner nya. Parkir agak sulit, apalagi kalau lalu lintas nya di jadikan jalan searah, muter nya jauh. Dan palang pembatas jalan nya bikin bingung, karena tidak sesuai dengan arahan map. Tersedia Tersedia Tidak yakin di perbolehkan atau tidak",Alun Alun Kota Wisata Batu,Tidak diketahui
Khusnul Khotimah,5,2 bulan lalu,Kesini pagi hari ...naik kuda hanya 50rb...bocil main di playground...yang mau kulineran dijamin variatif banget ....  ,Alun Alun Kota Wisata Batu,Tidak diketahui
Wisnu Wardhana,4,1 minggu lalu,"BARU Perjalanan dari jakarta sampai ke batu, langsung mampir ke alun². Kesan pertama : nyari parkir nya susaaah... sampai keliling wilayah sekitar 2x tetep gak dapet parkir, akhirnya dapet di depan masjid setelah antri dulu 5-10 menit. Alun² nya cukup ceria, dihiasi lampu² cantik, pengunjungnya ramai, sekelilingnya banyak PKL dan resto yg tertata rapi, kelihatannya ini salah satu destinasi wajib para warga dan pelancong  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Izzul Umami,4,5 bulan lalu,Sekarang alun-alun Batu makin rame sampek sesek lihat parkiran motornya. Padahal dulu 2018 saya sering ke sini bareng temen itu ya rame tapi masih manusiawi lah. Sekarang tambah rame. Ya enak sih mayan buat ngadem tapi buat ibu ibu kayak saya sekarang prefer ke alun-alun Batu pagi aja pas ramenya masih masuk akal. Kalo malam duh rame pol sampek sesek lihatnya.  ,Alun Alun Kota Wisata Batu,Tidak diketahui
Keanu Dzakwan,5,6 bulan lalu,"Menarik, pusat kulinernya sudah tertata, macam varian jajanannya juga banyak & beragam dengan harga yg wajar, tamannya terjaga keindahannya, tapi sayang saat kesana kemarin bianglalanya sedang rusak. Ada hiburan semacam karawitan yang energik, enak didengar & dinikmati para pengunjung bikin suasana makin seru.❤️  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Tentang Madura92,4,3 bulan lalu,Tempat piknik yang murah meriah fasilitas lengkap makanan unik juga banyak cocok buat keluarga dan anak Taman bermainnya enak cocok buat anak usia 3 sampai 9 tahun tempatnya luas serta bersih terjaga Toiletnya sangat banyak jadi tidak khawatir jika saat antri,Alun Alun Kota Wisata Batu,Tidak diketahui
Paula Anindia,4,6 bulan lalu,"Siapa yg ga ke alun2 kota wisata batu klo pas lg liburan ke batu? Meskipun parkirnya susah banget klo weekend, untungnya kang parkirnya baik banget ngasi jalan alternatif ke alun2 meskipun parkirnya jauh, kesini bukan utk jajan ketan ya tp jajan aneka seafood yg trnyata masih fresh dan sausnya enak banget, guritanya kenyal. Trus lanjut makan malem di ayam bakar gubernur, ayamnya empuk dan bumbu bakar meresap sampe ke tulang tp saking ramenya, menunya cuma menu sisa stengah ekor plus nasi utk 2 orang, udah gitu banyak banget pengamennya  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Dhisar Pranindya Dewa Brata,5,1 bulan lalu,"Kalau lagi di Batu, nanggung banget deh kalau nggak mampir ke Alun-Alun Kota Batu. Lokasinya di tengah kota, gampang banget dijangkau, dan selalu rami pengunjung, entah itu warga lokal atau wisatawan kayak kita. Meskipun kadang agak padat, apalagi pas weekend atau musim liburan, Alun-Alun Kota Batu tetep seru kok buat dikunjungi. Cocok banget buat jalan-jalan sore, nongkrong, atau sekadar nyari suasana kota yang ramai. Pokoknya, tempat ini rekomended banget deh buat dikunjungi bareng keluarga atau teman-teman. Ada Agak susah Tidak tahu",Alun Alun Kota Wisata Batu,Tidak diketahui
Vina Septiana W,5,5 bulan lalu,Alun alun ini bagus sih buat pendatang untuk istirahat sejenak menikmati taman ditengah-tengah kota batu. Untuk area makanan kecil juga ada dan beragam bagus sih menurutku hanya saja untuk tempat parkir terutama mobil agak susah apalagi kalau pas lagi rame pengunjung  ,Alun Alun Kota Wisata Batu,Tidak diketahui
Wulan Djofi8,4,9 bulan lalu,"Tersedia banyak tempat parkir. Aq biasa parkir didepan Masjid. Parkir 5 K. Sekarang yang jual jajanan ato makanan 'n minuman jauh lebih banyak. Dulu pernah naik bianglalanya. Kemaren mo naik ternyata sedang dalam perbaikan. Kereta kelinci muter"" kampung per orang 10 K, anak"" 5 K. Kedelai rebus per kg 15 K. Jagung rebus = 5 K. Ada mbah"" penjual strawberry 'n raspberry. Strawberrynya manis asem, raspberrynya ga ada rasa (kurang enak). Harga mika kecil = 15 K, mika besar = 25 K. Bando anak = 25 K. Kemaren coba makan di bakso tulang iga. Nyobain bakso spesial = 24 K. Rasanya enak.  1 ",Alun Alun Kota Wisata Batu,Tidak diketahui
Veronica Bagoes,5,5 bulan lalu,"Ada bapak pengamen yang sangat humoris di alun2 Batu, beliau ramah, pintar menciptakan lirik lagu yg unik  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Fia Masfiah,5,3 bulan lalu,Tepatnya berkunjung di Masjid Agung An Nur kota Batu yg bersebrangan dg alun2. Parkiran luas.  ,Alun Alun Kota Wisata Batu,Tidak diketahui
Sigit Aryono,5,1 bulan lalu,Berlibur ke Batu Sudah sangat sering ke Batu tapi jarang mampir ke Alun-alun Batu. Bagus. Ramai Ada beberapa permainan anak  ,Alun Alun Kota Wisata Batu,Tidak diketahui
Aishdnm,4,6 bulan lalu,"Bismillah, izin review yaa.. Wisata yg jarang banget sepi apalagi klu musim liburan jangan ditanya makin rame banget. Parkiran untuk mobil agak sulit. Aneka jajan kaki lima dan camilan ada disini. Biang lala nya sudah rusak, semoga segera di perbaiki karena belum sempet coba, meskipun udah beberapa kali kesini. Klu musim hujan wajib siap² payung deh.. Klu waktu pergantian tahun sering ada panggung entah sholawat versi konser mungkin. Toilet umum susah nyarinya. Kurang bervariasi",Alun Alun Kota Wisata Batu,Tidak diketahui
HARI “Mr Day” GUNAWAN,4,4 bulan lalu,Buat yang berlibur pastinya kurang afdol bila melewati tempat yang satu ini sebagai salah satu icon KWB (kota wisata batu) Apa lagi mampirnya pas senja sambil berburu asupan tapi tak lupa untuk mampir juga di Masjid Agung Kota Batu Saat ini lebih tertata dan rapi untuk penataan ruang kota Batu 😊😊😁👌👌😉  ,Alun Alun Kota Wisata Batu,Tidak diketahui
WahanaGo,5,6 bulan lalu,"Tempat nongkrong murah meriah bagi keluarga. Udara cukup sejuk, pendatang ramai di akhir pekan, parkiran penuh.  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Hany Puspita,4,3 bulan lalu,"Lingkungan bersih Tidak ada penjual di dalam alun-alun, jadi nyaman utk sekedar duduk santai Semoga kedepannya semakin baik Nyaman Toilet free tapi jadi tidak ada sabun utk cuci tangan , jadi kurang nyaman Menurut saya mending bayar tapi toilet bersih dan nyaman  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Yosi Ardiansyah,5,1 bulan lalu,Tempat nya bersih dan nyaman cocok untuk semua kalangan apa lagi untuk anak anak sangat cocok karna cukup bayar parkir saja  ,Alun Alun Kota Wisata Batu,Tidak diketahui
Riz Chs,5,7 bulan lalu,"Tempat parkir untuk mobil cukup banyak, bayar parkir nya 10rb. Di sekitar alun-alun ini juga banyak tempat warung makan untuk kulineran. Dalam alun-alun banyak wahana permainan, jadi cocok untuk anak anak. Tempatnya juga luas dan ada toilet gratis yang bersih.  ",Alun Alun Kota Wisata Batu,Tidak diketahui
